id_avaliacao,texto_avaliacao
1,"Adorei este produto, é fantástico e superou minhas expectativas!"
2,"Não gostei muito, a qualidade deixou a desejar e não funciona bem."
3,"É um produto ok, nada de especial, mas também não é ruim."
4,"Péssimo! Quebrou no primeiro dia de uso. Decepcionado."
5,"Maravilhoso, recomendo a todos! Comprarei novamente com certeza."
6,"Funciona como esperado, sem surpresas."
7,"Gostei bastante da funcionalidade, mas o design poderia ser melhor."
8,"Um dos melhores que já comprei, excelente custo-benefício."
9,"Terrível experiência, não recomendo a ninguém."
10,"Me surpreendeu positivamente, muito bom mesmo!"
